film_title,category_name,customer_name,store_location,rental_date,customer_total_for_film
BEACH HEARTBREAKERS,Documentary,LESLIE GORDON,"Lethbridge, Canada",2005-06-17 07:43:39,4.99
VIETNAM SMOOCHY,Drama,CLARA SHAW,"Lethbridge, Canada",2005-06-17 07:49:17,0.99
ROCKETEER MOTHER,Foreign,GERTRUDE CASTILLO,"Lethbridge, Canada",2005-06-17 07:51:26,3.99
LADYBUGS ARMAGEDDON,Games,ALAN KAHN,"Lethbridge, Canada",2005-06-17 07:58:39,4.99
ROBBERS JOON,Children,ZACHARY HITE,"Lethbridge, Canada",2005-06-17 08:02:20,3.99
FLIGHT LIES,Sports,LUCY WHEELER,"Lethbridge, Canada",2005-06-17 08:19:22,5.99
CLONES PINOCCHIO,Music,EDUARDO HIATT,"Lethbridge, Canada",2005-06-17 08:26:52,5.98
DATE SPEED,Family,SHANNON FREEMAN,"Woodridge, Australia",2005-06-17 08:30:35,0.99
SECRET GROUNDHOG,Documentary,LEONARD SCHOFIELD,"Lethbridge, Canada",2005-06-17 08:34:57,5.99
PURE RUNNER,Comedy,JESSIE MILAM,"Lethbridge, Canada",2005-06-17 08:37:55,2.99
CONGENIALITY QUEST,Sports,PAUL TROUT,"Woodridge, Australia",2005-06-17 08:40:22,0.99
MAGNIFICENT CHITTY,Classics,NICOLE PETERSON,"Lethbridge, Canada",2005-06-17 08:50:58,8.99
HARPER DYING,Animation,VIRGIL WOFFORD,"Lethbridge, Canada",2005-06-17 08:52:01,3.99
FLAMINGOS CONNECTICUT,New,DWAYNE OLVERA,"Lethbridge, Canada",2005-06-17 08:54:10,4.99
JASON TRAP,Family,SHIRLEY ALLEN,"Woodridge, Australia",2005-06-17 08:59:57,3.99
NONE SPIKING,Sci-Fi,ERNEST STEPP,"Woodridge, Australia",2005-06-17 09:02:58,0.99
HOLLYWOOD ANONYMOUS,Children,MICHELE GRANT,"Woodridge, Australia",2005-06-17 09:09:31,0.99
ROOTS REMEMBER,Classics,HEATHER MORRIS,"Lethbridge, Canada",2005-06-17 09:10:09,0.99
ILLUSION AMELIE,Foreign,JENNIFER DAVIS,"Woodridge, Australia",2005-06-17 09:19:45,0.99
QUILLS BULL,Documentary,JIMMIE EGGLESTON,"Lethbridge, Canada",2005-06-17 09:19:52,4.99
DREAM PICKUP,Action,MARIAN MENDOZA,"Lethbridge, Canada",2005-06-17 09:20:36,2.99
WHISPERER GIANT,Sci-Fi,JERRY JORDON,"Lethbridge, Canada",2005-06-17 09:22:22,4.99
FALCON VOLUME,Animation,WILLIAM SATTERFIELD,"Woodridge, Australia",2005-06-17 09:23:16,4.99
SLACKER LIAISONS,Drama,MABEL HOLLAND,"Woodridge, Australia",2005-06-17 09:26:15,4.99
HOPE TOOTSIE,Classics,CARMEN OWENS,"Lethbridge, Canada",2005-06-17 09:30:05,2.99
LUCKY FLYING,Music,TOMMY COLLAZO,"Lethbridge, Canada",2005-06-17 09:38:22,2.99
GANGS PRIDE,Animation,BILLIE HORTON,"Woodridge, Australia",2005-06-17 09:42:34,2.99
SAMURAI LION,New,JANET PHILLIPS,"Lethbridge, Canada",2005-06-17 09:45:30,2.99
PANKY SUBMARINE,Games,JEFFREY SPEAR,"Woodridge, Australia",2005-06-17 09:48:05,6.99
PRINCESS GIANT,Documentary,KARL SEAL,"Woodridge, Australia",2005-06-17 10:03:34,2.99
DOORS PRESIDENT,Animation,CASEY MENA,"Lethbridge, Canada",2005-06-17 10:12:15,4.99
RUGRATS SHAKESPEARE,Action,RUSSELL BRINSON,"Lethbridge, Canada",2005-06-17 10:25:28,2.99
ALTER VICTORY,Animation,NORMAN CURRIER,"Lethbridge, Canada",2005-06-17 10:31:37,0.99
PELICAN COMFORTS,Documentary,DEANNA BYRD,"Lethbridge, Canada",2005-06-17 10:42:34,8.99
FLATLINERS KILLER,Sports,JOHNNIE CHISHOLM,"Woodridge, Australia",2005-06-17 10:48:44,4.99
CHARIOTS CONSPIRACY,Sci-Fi,LILLIE KIM,"Woodridge, Australia",2005-06-17 10:58:53,2.99
ARIZONA BANG,Classics,CLAUDIA FULLER,"Lethbridge, Canada",2005-06-17 10:59:24,5.99
HAWK CHILL,Documentary,DOROTHY TAYLOR,"Lethbridge, Canada",2005-06-17 11:11:14,4.99
PHILADELPHIA WIFE,Sports,VALERIE BLACK,"Lethbridge, Canada",2005-06-17 11:17:45,6.99
COWBOY DOOM,Foreign,NORMAN CURRIER,"Lethbridge, Canada",2005-06-17 11:19:43,2.99
SLUMS DUCK,Family,CARMEN OWENS,"Lethbridge, Canada",2005-06-17 11:30:08,1.99
BILL OTHERS,Documentary,CATHY SPENCER,"Lethbridge, Canada",2005-06-17 11:32:30,2.99
GAMES BOWFINGER,Travel,ANDRE RAPP,"Lethbridge, Canada",2005-06-17 11:40:35,4.99
EXPENDABLE STALLION,Documentary,DOLORES WAGNER,"Woodridge, Australia",2005-06-17 11:43:38,5.98
TRAP GUYS,Foreign,CLAUDIA FULLER,"Lethbridge, Canada",2005-06-17 11:44:54,4.99
DEER VIRGINIAN,Music,JESSIE BANKS,"Woodridge, Australia",2005-06-17 11:47:03,2.99
DRACULA CRYSTAL,Classics,SIDNEY BURLESON,"Lethbridge, Canada",2005-06-17 11:47:17,0.99
IGBY MAKER,Travel,IVAN CROMWELL,"Woodridge, Australia",2005-06-17 11:48:05,5.99
HELLFIGHTERS SIERRA,Foreign,SHERRY MARSHALL,"Lethbridge, Canada",2005-06-17 11:48:31,2.99
NIGHTMARE CHILL,Games,FRANK WAGGONER,"Woodridge, Australia",2005-06-17 11:54:15,5.99
CLUB GRAFFITI,Animation,JUAN FRALEY,"Lethbridge, Canada",2005-06-17 11:56:09,3.99
SHAWSHANK BUBBLE,Travel,SARA PERRY,"Woodridge, Australia",2005-06-17 11:57:15,5.99
REAP UNFAITHFUL,Horror,LORRAINE STEPHENS,"Woodridge, Australia",2005-06-17 12:03:01,3.99
PACIFIC AMISTAD,Documentary,JERRY JORDON,"Lethbridge, Canada",2005-06-17 12:03:28,5.99
SPICE SORORITY,Drama,ROBERTO VU,"Lethbridge, Canada",2005-06-17 12:16:29,4.99
UPTOWN YOUNG,Children,JENNY CASTRO,"Woodridge, Australia",2005-06-17 12:18:36,2.99
FIGHT JAWBREAKER,Animation,ELMER NOE,"Woodridge, Australia",2005-06-17 12:33:30,0.99
ENDING CROWDS,New,RUSSELL BRINSON,"Lethbridge, Canada",2005-06-17 12:35:58,3.99
KNOCK WARLOCK,Comedy,CLAUDE HERZOG,"Lethbridge, Canada",2005-06-17 12:38:44,12.98
MASKED BUBBLE,Music,FRANK WAGGONER,"Woodridge, Australia",2005-06-17 13:00:51,0.99
EAGLES PANKY,New,CLIFFORD BOWENS,"Lethbridge, Canada",2005-06-17 13:04:00,4.99
SLEEPLESS MONSOON,Animation,RICK MATTOX,"Woodridge, Australia",2005-06-17 13:05:38,4.99
VELVET TERMINATOR,Comedy,JENNIE TERRY,"Woodridge, Australia",2005-06-17 13:06:56,7.99
TAXI KICK,Music,BILL GAVIN,"Woodridge, Australia",2005-06-17 13:13:27,0.99
VACATION BOONDOCK,Sci-Fi,IVAN CROMWELL,"Woodridge, Australia",2005-06-17 13:14:03,6.99
ALAMO VIDEOTAPE,Foreign,RUBY WASHINGTON,"Woodridge, Australia",2005-06-17 13:24:43,0.99
FORRESTER COMANCHEROS,Animation,SERGIO STANFIELD,"Lethbridge, Canada",2005-06-17 13:27:16,4.99
WAIT CIDER,Animation,VERONICA STONE,"Lethbridge, Canada",2005-06-17 13:45:09,6.99
AMELIE HELLFIGHTERS,Music,GLEN TALBERT,"Lethbridge, Canada",2005-06-17 13:46:52,4.99
MAUDE MOD,Foreign,THOMAS GRIGSBY,"Lethbridge, Canada",2005-06-17 13:54:20,0.99
UNBREAKABLE KARATE,New,HAZEL WARREN,"Lethbridge, Canada",2005-06-17 14:00:51,0.99
FORWARD TEMPLE,Games,DAVID ROYAL,"Woodridge, Australia",2005-06-17 14:03:43,3.99
COMMAND DARLING,Foreign,ROGER QUINTANILLA,"Woodridge, Australia",2005-06-17 14:19:00,8.99
PIRATES ROXANNE,Sports,SARA PERRY,"Woodridge, Australia",2005-06-17 14:31:02,0.99
LOLA AGENT,Horror,ROBERTO VU,"Lethbridge, Canada",2005-06-17 14:37:57,5.99
CARRIE BUNCH,Horror,CLARENCE GAMEZ,"Lethbridge, Canada",2005-06-17 14:38:11,2.99
CROOKED FROGMEN,Children,JEREMY HURTADO,"Woodridge, Australia",2005-06-17 14:39:50,1.99
LESSON CLEOPATRA,Sports,VICKI FIELDS,"Lethbridge, Canada",2005-06-17 14:40:58,1.99
BLANKET BEVERLY,Family,CHARLOTTE HUNTER,"Lethbridge, Canada",2005-05-24 22:53:30,2.99
LOVE SUICIDES,Horror,ANDREW PURDY,"Woodridge, Australia",2005-05-24 23:04:41,4.99
SCISSORHANDS SLUMS,Foreign,ROBERTA HARPER,"Lethbridge, Canada",2005-05-25 01:48:41,2.99
EASY GLADIATOR,Action,ROBERT BAUGHMAN,"Woodridge, Australia",2005-05-25 03:41:50,4.99
GOLDMINE TYCOON,Sci-Fi,KAY CALDWELL,"Lethbridge, Canada",2005-05-25 04:18:51,0.99
ENEMY ODDS,Music,ROBERTO VU,"Lethbridge, Canada",2005-05-25 04:24:36,4.99
JAWS HARRY,Comedy,VIRGINIA GREEN,"Woodridge, Australia",2005-05-25 06:05:20,3.99
PACIFIC AMISTAD,Documentary,GENE SANBORN,"Lethbridge, Canada",2005-05-25 06:39:35,2.99
TALENTED HOMICIDE,Sports,EDGAR RHOADS,"Woodridge, Australia",2005-05-25 06:51:29,0.99
TEEN APOLLO,Travel,SYLVIA ORTIZ,"Woodridge, Australia",2005-05-25 09:47:31,7.99
GANDHI KWAI,Family,ERIC ROBERT,"Lethbridge, Canada",2005-05-25 13:52:43,0.99
ENEMY ODDS,Music,HILDA HOPKINS,"Lethbridge, Canada",2005-05-25 16:34:24,4.99
PACKER MADIGAN,Animation,CASSANDRA WALTERS,"Lethbridge, Canada",2005-05-25 16:48:24,0.99
WOMEN DORADO,Action,LESLIE SEWARD,"Woodridge, Australia",2005-05-25 19:12:42,3.99
BACKLASH UNDEFEATED,Children,MARIAN MENDOZA,"Lethbridge, Canada",2005-05-25 20:46:11,6.99
HYDE DOCTOR,Classics,ALEXANDER FENNELL,"Woodridge, Australia",2005-05-25 21:07:59,2.99
HUNGER ROOF,Foreign,NORMA GONZALES,"Lethbridge, Canada",2005-05-25 21:10:40,2.99
JUMPING WRATH,Children,DELORES HANSEN,"Woodridge, Australia",2005-05-25 21:48:41,4.99
AMERICAN CIRCUS,Action,DAVID ROYAL,"Woodridge, Australia",2005-05-25 21:58:58,10.99
KISSING DOLLS,Action,RITA GRAHAM,"Lethbridge, Canada",2005-05-26 02:26:23,10.99
STORY SIDE,Action,JASON MORRISSEY,"Lethbridge, Canada",2005-05-26 02:49:11,0.99
SLEEPY JAPANESE,New,FLORENCE WOODS,"Lethbridge, Canada",2005-05-26 03:11:12,5.99
WASH HEAVENLY,Foreign,TANYA GILBERT,"Lethbridge, Canada",2005-05-26 04:49:17,4.99
INSIDER ARIZONA,Music,KATHY JAMES,"Lethbridge, Canada",2005-05-26 07:11:58,2.99
ROLLERCOASTER BRINGING,Horror,EDNA WEST,"Woodridge, Australia",2005-05-26 07:27:57,5.99
COMA HEAD,Travel,CHERYL MURPHY,"Lethbridge, Canada",2005-05-26 08:34:41,4.99
WASH HEAVENLY,Foreign,JOSEPHINE GOMEZ,"Lethbridge, Canada",2005-05-26 09:24:26,4.99
PHILADELPHIA WIFE,Sports,RICARDO MEADOR,"Lethbridge, Canada",2005-05-26 09:41:45,4.99
VAMPIRE WHALE,New,BRIAN WYMAN,"Lethbridge, Canada",2005-05-26 10:18:27,9.99
DRAGONFLY STRANGERS,New,MARK RINEHART,"Woodridge, Australia",2005-05-26 11:19:20,4.99
CLERKS ANGELS,Documentary,JAMIE WAUGH,"Woodridge, Australia",2005-05-26 11:43:44,4.99
SEABISCUIT PUNK,Sports,SHERRY MARSHALL,"Lethbridge, Canada",2005-05-26 11:51:09,11.98
BANGER PINOCCHIO,Music,FERNANDO CHURCHILL,"Woodridge, Australia",2005-05-26 12:15:13,0.99
HIGHBALL POTTER,Foreign,JULIO NOLAND,"Woodridge, Australia",2005-05-26 14:07:58,0.99
HANOVER GALAXY,Music,SHAWN HEATON,"Lethbridge, Canada",2005-05-26 14:43:48,4.99
FAMILY SWEET,Horror,VINCENT RALSTON,"Lethbridge, Canada",2005-05-26 15:44:23,3.99
SCALAWAG DUCK,Music,JASON MORRISSEY,"Lethbridge, Canada",2005-05-26 16:19:46,4.99
BIRDS PERDITION,New,WILLIE MARKHAM,"Woodridge, Australia",2005-05-26 19:21:44,8.99
HOLOCAUST HIGHBALL,Children,VICKIE BREWER,"Woodridge, Australia",2005-05-26 22:38:10,1.99
TRADING PINOCCHIO,Sports,EDUARDO HIATT,"Lethbridge, Canada",2005-05-26 22:56:19,4.99
AGENT TRUMAN,Foreign,CLARENCE GAMEZ,"Lethbridge, Canada",2005-05-26 23:23:56,5.99
DOORS PRESIDENT,Animation,PATRICIA JOHNSON,"Lethbridge, Canada",2005-05-27 00:09:24,4.99
WYOMING STORM,New,TYLER WREN,"Woodridge, Australia",2005-05-27 00:47:35,4.99
ROCKETEER MOTHER,Foreign,MISTY LAMBERT,"Woodridge, Australia",2005-05-27 01:00:04,0.99
FRENCH HOLIDAY,Documentary,CAROLINE BOWMAN,"Lethbridge, Canada",2005-05-27 02:15:30,7.99
LOCK REAR,Travel,ELMER NOE,"Woodridge, Australia",2005-05-27 03:47:18,3.99
FATAL HAUNTED,New,CLARA SHAW,"Lethbridge, Canada",2005-05-27 04:32:25,2.99
WAIT CIDER,Animation,DARLENE ROSE,"Woodridge, Australia",2005-05-27 05:48:19,0.99
ANTHEM LUKE,Comedy,THEODORE CULP,"Woodridge, Australia",2005-05-27 06:15:33,4.99
ACADEMY DINOSAUR,Documentary,SERGIO STANFIELD,"Lethbridge, Canada",2005-05-27 07:03:28,0.99
ODDS BOOGIE,Family,SALLY PIERCE,"Woodridge, Australia",2005-05-27 07:31:20,2.99
DARKNESS WAR,Drama,MILTON HOWLAND,"Woodridge, Australia",2005-05-27 07:46:49,2.99
EFFECT GLADIATOR,Family,DAISY BATES,"Lethbridge, Canada",2005-05-27 08:08:18,3.99
WEDDING APOLLO,Documentary,JERRY JORDON,"Lethbridge, Canada",2005-05-27 08:26:30,6.99
PULP BEVERLY,Horror,LONNIE TIRADO,"Woodridge, Australia",2005-05-27 08:58:15,4.99
PAST SUICIDES,Foreign,BEATRICE ARNOLD,"Lethbridge, Canada",2005-05-27 09:04:05,5.99
GROUNDHOG UNCUT,Comedy,JUNE CARROLL,"Lethbridge, Canada",2005-05-27 09:34:39,6.99
DATE SPEED,Family,ERIKA PENA,"Lethbridge, Canada",2005-05-27 10:12:20,3.99
GOLDMINE TYCOON,Sci-Fi,MELVIN ELLINGTON,"Lethbridge, Canada",2005-05-27 12:44:03,0.99
SCISSORHANDS SLUMS,Foreign,JOSEPH JOY,"Woodridge, Australia",2005-05-27 14:45:37,4.99
DETECTIVE VISION,Classics,WILLIE HOWELL,"Woodridge, Australia",2005-05-27 14:48:20,0.99
PANKY SUBMARINE,Games,MARIAN MENDOZA,"Lethbridge, Canada",2005-05-27 15:30:13,8.99
ANGELS LIFE,New,GENE SANBORN,"Lethbridge, Canada",2005-05-27 16:21:26,8.99
DOZEN LION,Documentary,CATHERINE CAMPBELL,"Woodridge, Australia",2005-05-27 16:40:29,4.99
HUNCHBACK IMPOSSIBLE,Drama,KURT EMMONS,"Lethbridge, Canada",2005-05-27 18:35:20,8.99
HOME PITY,Music,TONY CARRANZA,"Woodridge, Australia",2005-05-27 18:48:41,4.99
LEGEND JEDI,Music,JOHN FARNSWORTH,"Lethbridge, Canada",2005-05-27 19:52:29,0.99
GUNFIGHT MOON,Comedy,LEROY BUSTAMANTE,"Lethbridge, Canada",2005-05-27 20:57:07,0.99
FORRESTER COMANCHEROS,Animation,AMY LOPEZ,"Lethbridge, Canada",2005-05-27 23:00:25,4.99
HARRY IDAHO,Drama,JUDITH COX,"Woodridge, Australia",2005-05-28 00:39:31,4.99
LIBERTY MAGNIFICENT,Sports,BETH FRANKLIN,"Woodridge, Australia",2005-05-28 01:05:07,7.99
CENTER DINOSAUR,Classics,LAUREN HUDSON,"Woodridge, Australia",2005-05-28 01:09:36,4.99
TIMBERLAND SKY,Classics,COREY HAUSER,"Lethbridge, Canada",2005-05-28 03:18:02,0.99
SECRETS PARADISE,Family,COURTNEY DAY,"Lethbridge, Canada",2005-05-28 03:22:33,7.99
RUNAWAY TENENBAUMS,New,GERALDINE PERKINS,"Lethbridge, Canada",2005-05-28 06:26:16,0.99
WHALE BIKINI,Foreign,DEANNA BYRD,"Lethbridge, Canada",2005-05-28 06:42:13,6.99
EDGE KISSING,Drama,SIDNEY BURLESON,"Lethbridge, Canada",2005-05-28 08:39:02,7.99
ROOTS REMEMBER,Classics,CRYSTAL FORD,"Lethbridge, Canada",2005-05-28 09:01:21,1.99
DRACULA CRYSTAL,Classics,MICHELLE CLARK,"Lethbridge, Canada",2005-05-28 10:15:04,0.99
TALENTED HOMICIDE,Sports,MARY SMITH,"Lethbridge, Canada",2005-05-28 10:35:23,0.99
STORM HAPPINESS,Animation,IRENE PRICE,"Woodridge, Australia",2005-05-28 10:44:28,1.99
BLUES INSTINCT,Family,JENNIFER DAVIS,"Woodridge, Australia",2005-05-28 11:09:14,2.99
CELEBRITY HORN,Action,SHELLY WATTS,"Woodridge, Australia",2005-05-28 13:59:54,1.99
WIND PHANTOM,Games,DORA MEDINA,"Woodridge, Australia",2005-05-28 14:01:02,3.99
MASK PEACH,New,DWAYNE OLVERA,"Lethbridge, Canada",2005-05-28 15:02:41,2.99
BEDAZZLED MARRIED,Family,JOSEPH JOY,"Woodridge, Australia",2005-05-28 15:33:28,1.99
GAMES BOWFINGER,Travel,JO FOWLER,"Woodridge, Australia",2005-05-28 18:14:29,4.99
SECRET GROUNDHOG,Documentary,EARL SHANKS,"Lethbridge, Canada",2005-05-28 18:45:47,5.99
SWARM GOLD,Horror,JUNE CARROLL,"Lethbridge, Canada",2005-05-28 21:23:02,1.99
ROBBERS JOON,Children,JAMIE WAUGH,"Woodridge, Australia",2005-05-28 23:39:44,2.99
PREJUDICE OLEANDER,Classics,ELEANOR HUNT,"Lethbridge, Canada",2005-05-28 23:53:18,4.99
CHARIOTS CONSPIRACY,Sci-Fi,YOLANDA WEAVER,"Woodridge, Australia",2005-05-29 01:42:31,2.99
VACATION BOONDOCK,Sci-Fi,CLAUDE HERZOG,"Lethbridge, Canada",2005-05-29 01:50:53,3.99
CADDYSHACK JEDI,Action,EDITH MCDONALD,"Lethbridge, Canada",2005-05-29 02:18:54,0.99
BLOOD ARGONAUTS,Family,ROSA REYNOLDS,"Woodridge, Australia",2005-05-29 02:26:27,2.99
MIGHTY LUCK,Documentary,SCOTT SHELLEY,"Lethbridge, Canada",2005-05-29 02:44:43,3.99
KANE EXORCIST,Foreign,MILDRED BAILEY,"Lethbridge, Canada",2005-05-29 03:05:49,1.99
HOUSE DYNAMITE,Family,TOM MILNER,"Lethbridge, Canada",2005-05-29 04:15:21,2.99
SPEAKEASY DATE,Action,JEFFERY PINSON,"Woodridge, Australia",2005-05-29 05:53:23,3.99
GIANT TROOPERS,Children,ROBERTO VU,"Lethbridge, Canada",2005-05-29 06:08:15,2.99
GONE TROUBLE,Drama,MATTHEW MAHAN,"Woodridge, Australia",2005-05-29 06:35:13,2.99
CAT CONEHEADS,Comedy,ALICIA MILLS,"Lethbridge, Canada",2005-05-29 09:22:57,4.99
GRAIL FRANKENSTEIN,Action,ELLEN SIMPSON,"Lethbridge, Canada",2005-05-29 10:14:15,4.99
LEGALLY SECRETARY,Children,DANA HART,"Lethbridge, Canada",2005-05-29 10:57:57,6.99
JOON NORTHWEST,Sports,ENRIQUE FORSYTHE,"Lethbridge, Canada",2005-05-29 14:38:57,1.99
OTHERS SOUP,Travel,ALBERT CROUSE,"Lethbridge, Canada",2005-05-29 14:44:22,2.99
MILLION ACE,Classics,ALEXANDER FENNELL,"Woodridge, Australia",2005-05-29 15:17:28,9.99
NOON PAPI,Children,RENE MCALISTER,"Woodridge, Australia",2005-05-29 16:19:29,2.99
FIREBALL PHILADELPHIA,Comedy,VIOLA HANSON,"Woodridge, Australia",2005-05-29 17:12:17,1.99
BRIDE INTRIGUE,Action,GREG ROBINS,"Lethbridge, Canada",2005-05-29 17:28:12,0.99
STRANGER STRANGERS,Children,DOLORES WAGNER,"Woodridge, Australia",2005-05-29 18:10:24,9.99
POLISH BROOKLYN,Children,CONSTANCE REID,"Woodridge, Australia",2005-05-29 18:18:18,3.99
LIES TREATMENT,Drama,RICKY SHELBY,"Woodridge, Australia",2005-05-29 18:31:30,4.99
WEDDING APOLLO,Documentary,TONY CARRANZA,"Woodridge, Australia",2005-05-29 19:30:42,1.99
MILLION ACE,Classics,COREY HAUSER,"Lethbridge, Canada",2005-05-29 21:36:00,9.99
CLEOPATRA DEVIL,New,BILLY POULIN,"Lethbridge, Canada",2005-05-29 21:49:41,0.99
JUGGLER HARDLY,Animation,GERTRUDE CASTILLO,"Lethbridge, Canada",2005-05-29 21:56:15,6.99
VIDEOTAPE ARSENIC,Games,JESSE SCHILLING,"Woodridge, Australia",2005-05-30 00:31:17,4.99
WARDROBE PHANTOM,Drama,RUSSELL BRINSON,"Lethbridge, Canada",2005-05-30 01:18:15,3.99
LIES TREATMENT,Drama,BRAD MCCURDY,"Woodridge, Australia",2005-05-30 01:35:12,4.99
SLEUTH ORIENT,Games,THELMA MURRAY,"Lethbridge, Canada",2005-05-30 01:43:31,0.99
DALMATIONS SWEDEN,Drama,FRED WHEAT,"Woodridge, Australia",2005-05-30 01:56:11,0.99
PATTON INTERVIEW,Horror,RACHEL BARNES,"Lethbridge, Canada",2005-05-30 02:36:20,2.99
DWARFS ALTER,Games,JEFFREY SPEAR,"Woodridge, Australia",2005-05-30 03:09:11,2.99
ROOTS REMEMBER,Classics,EMILY DIAZ,"Woodridge, Australia",2005-05-30 03:54:43,0.99
ZOOLANDER FICTION,Children,WILLIAM SATTERFIELD,"Woodridge, Australia",2005-05-30 05:01:30,2.99
STRANGELOVE DESIRE,Children,ALLAN CORNISH,"Lethbridge, Canada",2005-05-30 05:03:04,3.99
FLATLINERS KILLER,Sports,WALTER PERRYMAN,"Woodridge, Australia",2005-05-30 05:41:22,5.99
CENTER DINOSAUR,Classics,GLENDA FRAZIER,"Lethbridge, Canada",2005-05-30 06:15:36,4.99
STAR OPERATION,Sports,DAN PAINE,"Lethbridge, Canada",2005-05-30 06:16:06,2.99
VOLCANO TEXAS,Games,PHILIP CAUSEY,"Lethbridge, Canada",2005-05-30 06:54:51,0.99
METROPOLIS COMA,Sci-Fi,CLARENCE GAMEZ,"Lethbridge, Canada",2005-05-30 07:43:12,7.99
SAVANNAH TOWN,Drama,ERNEST STEPP,"Woodridge, Australia",2005-05-30 09:26:19,0.99
SEATTLE EXPECATIONS,Drama,KIRK STCLAIR,"Lethbridge, Canada",2005-05-30 09:38:41,8.99
FORWARD TEMPLE,Games,IAN STILL,"Woodridge, Australia",2005-05-30 09:53:36,4.99
QUEEN LUKE,Drama,FRED WHEAT,"Woodridge, Australia",2005-05-30 11:04:58,7.99
REIGN GENTLEMEN,Sci-Fi,MAE FLETCHER,"Woodridge, Australia",2005-05-30 12:10:59,7.98
BARBARELLA STREETCAR,Sci-Fi,RACHEL BARNES,"Lethbridge, Canada",2005-05-30 12:27:14,2.99
VANISHING ROCKY,Music,FERNANDO CHURCHILL,"Woodridge, Australia",2005-05-30 12:32:39,6.99
SOLDIERS EVOLUTION,Sci-Fi,EVELYN MORGAN,"Woodridge, Australia",2005-05-30 15:20:19,4.99
JASON TRAP,Family,HARRY ARCE,"Lethbridge, Canada",2005-05-30 15:50:39,2.99
KICK SAVANNAH,Travel,VIRGIL WOFFORD,"Lethbridge, Canada",2005-05-30 21:11:19,4.99
TRAMP OTHERS,Comedy,PRISCILLA LOWE,"Woodridge, Australia",2005-05-30 21:45:19,0.99
ALASKA PHANTOM,Music,WENDY HARRISON,"Lethbridge, Canada",2005-05-30 22:15:51,0.99
WARDROBE PHANTOM,Drama,LOUISE JENKINS,"Lethbridge, Canada",2005-05-30 23:11:51,2.99
TRANSLATION SUMMER,Drama,PAUL TROUT,"Woodridge, Australia",2005-05-30 23:25:14,3.99
SHAKESPEARE SADDLE,Sports,SHANNON FREEMAN,"Woodridge, Australia",2005-05-30 23:47:56,2.99
ANNIE IDENTITY,Sci-Fi,GERALDINE PERKINS,"Lethbridge, Canada",2005-05-31 00:48:20,0.99
GANDHI KWAI,Family,JAIME NETTLES,"Woodridge, Australia",2005-05-31 00:48:36,0.99
SALUTE APOLLO,New,DELORES HANSEN,"Woodridge, Australia",2005-05-31 00:57:08,2.99
MALKOVICH PET,Classics,CLYDE TOBIAS,"Lethbridge, Canada",2005-05-31 01:47:35,2.99
COMA HEAD,Travel,TRACEY BARRETT,"Woodridge, Australia",2005-05-31 02:39:16,4.99
DALMATIONS SWEDEN,Drama,JEFFERY PINSON,"Woodridge, Australia",2005-05-31 04:23:01,2.99
ELEPHANT TROJAN,Horror,PHILLIP HOLM,"Lethbridge, Canada",2005-05-31 05:23:47,4.99
MADIGAN DORADO,Travel,SHEILA WELLS,"Lethbridge, Canada",2005-05-31 05:32:29,4.99
SAMURAI LION,New,EDUARDO HIATT,"Lethbridge, Canada",2005-05-31 06:29:01,6.99
STRANGERS GRAFFITI,Horror,MARK RINEHART,"Woodridge, Australia",2005-05-31 06:57:04,4.99
AIRPORT POLLOCK,Horror,VICTORIA GIBSON,"Lethbridge, Canada",2005-05-31 08:04:17,4.99
DAWN POND,Games,EDNA WEST,"Woodridge, Australia",2005-05-31 08:27:58,7.99
OPPOSITE NECKLACE,Family,NELSON CHRISTENSON,"Lethbridge, Canada",2005-05-31 11:17:37,4.99
DIVORCE SHINING,Sports,PENNY NEAL,"Lethbridge, Canada",2005-05-31 13:30:49,8.99
GRADUATE LORD,Children,JESSICA HALL,"Woodridge, Australia",2005-05-31 14:33:56,2.99
SADDLE ANTITRUST,Comedy,HEATHER MORRIS,"Lethbridge, Canada",2005-05-31 15:04:05,2.99
PLATOON INSTINCT,New,THELMA MURRAY,"Lethbridge, Canada",2005-05-31 19:15:11,4.99
SUNDANCE INVASION,Children,DIANE COLLINS,"Lethbridge, Canada",2005-05-31 19:19:36,4.99
SUGAR WONKA,Animation,BARRY LOVELACE,"Lethbridge, Canada",2005-05-31 19:30:27,6.99
SWARM GOLD,Horror,ELIZABETH BROWN,"Lethbridge, Canada",2005-05-31 19:46:38,1.99
GIANT TROOPERS,Children,ANITA MORALES,"Woodridge, Australia",2005-05-31 21:20:09,2.99
MOTHER OLEANDER,Sports,CHERYL MURPHY,"Lethbridge, Canada",2005-05-31 21:42:09,5.99
HYDE DOCTOR,Classics,VICKIE BREWER,"Woodridge, Australia",2005-05-31 22:17:11,5.98
BROTHERHOOD BLANKET,Documentary,CONNIE WALLACE,"Lethbridge, Canada",2005-05-31 22:37:34,0.99
WASH HEAVENLY,Foreign,ELMER NOE,"Woodridge, Australia",2005-06-14 22:55:13,4.99
WAGON JAWS,Documentary,HERMAN DEVORE,"Lethbridge, Canada",2005-06-14 23:35:09,2.99
DISTURBING SCARFACE,Sci-Fi,JEANETTE GREENE,"Lethbridge, Canada",2005-06-14 23:54:46,2.99
CLASH FREDDY,Animation,FRANK WAGGONER,"Woodridge, Australia",2005-06-15 00:49:19,2.99
